timestamp,open,close,low,high,weekly_return_pct
2024-11-10,100000.0,98455.8995876383,98455.8995876383,100000.0,-1.5441004123617041
2024-11-17,98886.28561007568,96892.86352907616,96587.9788896592,99079.6198678523,-2.015873150357672
2024-11-24,96637.13244669476,97908.75213045393,95892.03370840612,99070.14407875387,1.315870671618491
2024-12-01,97914.1199880744,99832.03242824713,97824.08009692177,100489.26292188837,1.9587700327657886
2024-12-08,100208.2189815934,97382.33667631447,97382.33667631447,102211.92365031144,-2.820010508118098
2024-12-15,97972.29830734596,99160.05312859436,96251.91141503472,100471.4626054818,1.2123374073784943
2024-12-22,99160.00502117295,102480.63106403832,98130.46831595532,103677.59812569276,3.348755420248639
2024-12-29,101933.5106749671,103029.93713462257,100948.57664281984,104740.21926424594,1.0756290570150373
2025-01-05,102987.38008675778,105985.1572646938,102928.39250867092,106269.26273393491,2.9108199231892895
2025-01-12,105736.4002990792,99971.16986880227,99672.50784906952,105736.4002990792,-5.452455742743057
2025-01-19,99759.3555622467,102577.9398769641,98090.70549286027,102577.9398769641,2.8253834428177527
2025-01-26,102577.9398769641,96659.89285326011,96659.89285326011,102577.9398769641,-5.769317487563419
2025-02-02,96847.72264607892,103140.74489715928,96847.72264607892,103140.74489715928,6.497852586660846
2025-02-09,104490.13252149137,98075.51678318976,98075.51678318976,104549.54134590388,-6.138967942243023
2025-02-16,98075.51678318976,95685.46218007569,95594.49964298397,98683.35555435088,-2.436953361558758
2025-02-23,95688.44739253951,94078.15979072003,94078.15979072003,96225.12239761613,-1.6828443199769505
2025-03-02,94489.26093012368,100142.4189699005,94305.7227703118,100142.4189699005,5.982857717510792
2025-03-09,99266.1445201964,92956.17929573852,92956.17929573852,102589.45690307564,-6.35661358155607
2025-03-16,93988.42467645908,95357.83719478831,92995.43976921974,96534.53982639442,1.4570012456781134
2025-03-23,96225.6927848519,95404.26999721004,94547.67725818243,96875.34887560012,-0.8536418537182677
2025-03-30,95524.56806406812,95028.6271293208,95028.6271293208,96801.52033345004,-0.519176317462855
2025-04-06,94690.52956959364,95563.33296557124,94690.52956959364,97882.54937217456,0.9217430718202246
2025-04-13,95306.53159496209,104857.274051423,93712.64244358487,105636.3160571276,10.021078615104862
2025-04-20,104553.42882920752,104745.80113387576,103491.05168091736,104745.80113387576,0.1839942571204345
2025-04-27,105412.0485892329,108690.75892905824,105356.49614197062,111092.77666474704,3.1103753163945536
2025-05-04,108621.3162195228,107094.52124651687,106552.87232308857,108682.26552210664,-1.4056126607049135
2025-05-11,107195.77810010088,111885.79772289556,106876.55412982112,112110.10548802283,4.3751906147041275
2025-05-18,111877.36194095058,110201.85084438432,109901.6387076619,112273.15613075031,-1.497631931516763
2025-05-25,110201.85084438432,115846.00426807896,110181.31094578528,116504.97012360704,5.121650299380853
2025-06-01,115644.91914180492,114141.82919661248,112874.29422317632,115644.91914180492,-1.299745770369154
2025-06-08,113618.98136143976,113152.53346924717,112379.35658446728,114275.7292519616,-0.4105369425102867
2025-06-15,113152.53346924717,114506.6654940814,113079.65276347856,114917.5122667902,1.1967315121603317
2025-06-22,114608.01450915993,112819.75367418963,112093.52890518976,115206.19641574413,-1.560327907807324
2025-06-29,112748.16200660124,112747.4145021264,112452.36437557868,113664.8254520894,-0.0006629859516493752
2025-07-06,112670.78070600246,112758.88321611586,111427.80397458289,115234.29985380902,0.0781946388951349
2025-07-13,112666.04440878078,116826.71497536956,112468.05161421496,117967.61544646176,3.6929232657648026
2025-07-20,116671.43831519064,114195.2231509876,113675.28822553228,116671.43831519064,-2.122383335597089
2025-07-27,113863.75723379813,111984.46800183214,111599.15793166304,114612.39034902774,-1.650471824943578
2025-08-03,111941.12983077957,110367.22450765088,109828.41613704886,113081.08756008765,-1.4060116469325812
2025-08-10,110367.22450765088,109242.9906633398,109201.8606995547,110525.32520751152,-1.0186301679020127
2025-08-17,109242.9906633398,107740.46548357424,107015.08807161592,109242.9906633398,-1.3753973327185642
2025-08-24,107458.12054229905,105700.44689765017,104744.99998282414,107730.31237011233,-1.635682474045319
2025-08-31,105833.64345913506,103828.57261116854,103828.57261116854,107253.66288573512,-1.8945495802955348
2025-09-07,103254.4756876872,102778.5772758165,102778.5772758165,104281.64101263476,-0.46089857965105896
2025-09-14,102778.5772758165,104021.6831879321,102441.89239057206,104125.14566692716,1.2094990464594613
2025-09-21,103973.9946265364,104274.31022437804,103874.80377088729,105357.66031692884,0.288837222153826
2025-09-28,104430.72577296942,104691.64779985083,104102.78034412976,106173.49460893065,0.24985177968470662
2025-10-05,104691.64779985083,106194.38700660704,104657.34877288889,106343.08764353835,1.4353955051210399
2025-10-12,106132.72186150982,108815.18857281504,105989.99347241182,109224.97210370348,2.5274643524223483
2025-10-19,108743.28315521896,104547.4372831012,103823.00951910524,109458.29847300996,-3.858487393771859
2025-10-26,105522.91470995646,105283.52373415417,103150.67734969892,106222.1473477571,-0.2268616029611148
2025-11-02,105485.22619759996,107652.00202715324,105298.72046524448,108083.62142691055,2.0541036007207136
2025-11-09,106377.72607585802,109269.88431127022,104752.64995350449,109344.38252602748,2.7187629799021895
2025-11-16,110438.0910838975,105757.2311876494,105716.3392673764,111022.44924923782,-4.238446943719931
2025-11-23,106415.41472116655,100232.00146757878,97659.7125107059,106496.41305139798,-5.81063680463002
