timestamp,open,close,low,high,monthly_return_pct
2024-11-30,100000.0,99784.61785084648,99234.46003505807,103945.40020860363,-0.21538214915352016
2024-12-31,99784.61785084648,93287.00863555,92027.23218425602,100367.94213397088,-6.5116341127936295
2025-01-31,93411.3836057966,88430.99802178761,85973.42476243648,95148.0529053722,-5.331668787849885
2025-02-28,88430.99802178761,75877.73408932764,75476.07019869362,88876.77206111609,-14.195547051687807
2025-03-31,76145.20451475734,73417.87281307671,70937.16829119291,78954.82895123636,-3.58175110180714
2025-04-30,73598.43165886283,78161.63702986915,72994.87353755298,78417.13606852971,6.200139416227368
2025-05-31,78009.1842067939,80777.72306315695,77679.04699434475,82378.14519312873,3.548990909870242
2025-06-30,80652.54702473772,80748.66092794773,79035.76179698802,82439.56759705779,0.11917032599171318
2025-07-31,80748.66092794773,78175.68698450617,78175.68698450617,82962.96811778618,-3.1863982806320745
2025-08-31,77940.7699813481,74835.2475574731,74835.2475574731,79425.22187567117,-3.98446464490686
2025-09-30,74643.41732194007,72436.20235630425,71295.12943034021,74949.79723664718,-2.9570122119623954
2025-10-31,72410.42334909218,72308.82436490254,70867.62485094738,74697.39030136736,-0.14030988839800473
2025-11-30,72598.83242494865,67162.6985401877,64455.66877859294,72806.5392836119,-7.487908142848887
