timestamp,price,open,high,low,close,net_value,alpha,position_size,avg_price,decision_made,decision_type,quantity_pct,take_profit_price,stop_loss_price
2024-11-06T16:00:00,75814.1,,,,,100000.0,-0.02042763848584873,,,True,LONG,,,
2024-11-06T20:00:00,75584.8,,,,,99859.09617076507,-0.018750389959455754,,,True,SHORT,,,
2024-11-07T00:00:00,75040.0,75584.9,76031.7,75000.0,75040.0,99979.25742776376,-175.75185222801696,0.0,,True,CLOSE_MANUAL,0.0,73200.0,76388.0
2024-11-07T04:00:00,74768.6,,,,,100068.89766859508,-0.005666647543487157,,,False,HOLD,,,
2024-11-07T08:00:00,74752.0,,,,,100074.38045414333,-0.005388390289002662,,,False,HOLD,,,
2024-11-07T12:00:00,76056.3,,,,,99643.5854426611,-0.027251699748288536,,,False,HOLD,,,
2024-11-07T16:00:00,76510.0,76056.5,76700.0,75550.6,76510.0,99508.79875658754,-315.44939118444483,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0
2024-11-07T20:00:00,75860.3,,,,,99508.79875658754,-0.025961484548520597,,,True,SHORT,,,
2024-11-08T00:00:00,75898.9,,,,,99501.29821544194,-0.026556030610667428,,,False,HOLD,,,
2024-11-08T04:00:00,76156.5,,,,,99484.4030366991,-0.030192175963329192,,,False,HOLD,,,
2024-11-08T08:00:00,75936.7,76156.5,76320.0,75759.0,75936.7,99479.4081699292,-29.390586658322235,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0
2024-11-08T12:00:00,76418.8,,,,,99479.4081699292,-0.03377257832730429,,,False,HOLD,,,
2024-11-08T16:00:00,76906.0,,,,,99479.4081699292,-0.04033009659198464,,,True,SHORT,,,
2024-11-08T20:00:00,76499.1,,,,,99628.80695203813,-0.03335939657488059,,,False,HOLD,,,
2024-11-09T00:00:00,76340.0,,,,,99699.88267145443,-0.030507216646910744,,,False,HOLD,,,
2024-11-09T04:00:00,76531.8,,,,,99613.0487095991,-0.033957107996099745,,,False,HOLD,,,
2024-11-09T08:00:00,76489.3,,,,,99632.28981167861,-0.03319266387545053,,,False,HOLD,,,
2024-11-09T12:00:00,76321.2,,,,,99708.3940295508,-0.030169062541776287,,,False,HOLD,,,
