datetime,Open,High,Low,Close,Volume
2020-02-23 16:00:00,9864.2,9989.3,8440.7,8557.8,360198.08511316
2020-03-01 16:00:00,8558.7,9188.6,8320.0,8399.9,373096.57572691
2020-03-08 16:00:00,8400.0,8400.0,3791.9,5325.8,929961.30214439
2020-03-15 16:00:00,5325.8,6910.0,4448.8,6073.6,777032.08867863
2020-03-22 16:00:00,6073.6,6962.4,5694.0,6130.8,600683.92385939
2020-03-29 16:00:00,6130.8,7260.0,5860.0,6784.8,452583.65254537
2020-04-05 16:00:00,6785.0,7457.4,6676.2,7018.3,366350.55244568
2020-04-12 16:00:00,7018.8,7295.0,6473.5,7097.4,394064.9139275
2020-04-19 16:00:00,7097.4,7750.0,6751.1,7544.9,429162.07493593
2020-04-26 16:00:00,7544.9,9456.2,7535.0,8814.1,620579.18655786
2020-05-03 16:00:00,8813.7,10077.0,8002.0,8652.0,694918.49040996
2020-05-10 16:00:00,8651.3,9945.0,8200.0,9821.9,663704.76298566
2020-05-17 16:00:00,9821.6,9955.0,8814.7,9055.2,556737.83336376
2020-05-24 16:00:00,9054.7,9750.3,8632.7,9477.5,537028.48500999
2020-05-31 16:00:00,9477.5,10367.3,9281.3,9498.9,511657.72229049
2020-06-07 16:00:00,9499.0,9999.0,9056.2,9418.3,497582.38829294
2020-06-14 16:00:00,9418.3,9592.2,8910.4,9372.5,520476.75132672
2020-06-21 16:00:00,9373.1,9786.1,8818.0,9158.2,437140.67322385
2020-06-28 16:00:00,9158.9,9289.0,8941.3,9028.7,287554.3031499
2020-07-05 16:00:00,9028.5,9469.9,8906.3,9216.1,232620.6150874
2020-07-12 16:00:00,9216.2,9341.8,9047.1,9120.3,224372.74417873
2020-07-19 16:00:00,9120.4,10163.2,9120.3,9959.1,274533.81834276
2020-07-26 16:00:00,9959.1,12100.0,9845.2,11086.8,489541.02601759
2020-08-02 16:00:00,11085.5,11910.0,10915.4,11569.8,370679.02125132
2020-08-09 16:00:00,11569.9,12053.6,11107.1,11860.6,338710.25462775
2020-08-16 16:00:00,11860.7,12450.0,11380.5,11651.8,286929.81567202
2020-08-23 16:00:00,11651.8,11822.4,11111.0,11615.6,268252.68047563
2020-08-30 16:00:00,11615.7,12050.9,9833.6,10174.5,314525.04011917
2020-09-06 16:00:00,10174.0,10579.8,9850.0,10280.7,257566.98787654
2020-09-13 16:00:00,10280.7,11178.7,10211.8,10835.5,270273.39281413
2020-09-20 16:00:00,10835.8,10988.3,10138.1,10755.2,278895.27338814
2020-09-27 16:00:00,10755.3,10956.0,10375.0,10591.8,286523.19222487
2020-10-04 16:00:00,10591.9,11489.6,10527.0,11403.3,235881.61401351
2020-10-11 16:00:00,11403.2,11724.6,11143.9,11446.3,203787.8188136
2020-10-18 16:00:00,11446.4,13315.6,11404.8,12915.6,160627.65573752
2020-10-25 16:00:00,12913.9,13950.0,12723.0,13689.1,142849.53784718
2020-11-01 16:00:00,13689.1,15879.9,13074.0,15343.7,113601.86425635
2020-11-08 16:00:00,15343.8,16427.1,14808.1,15874.8,113768.91714888
2020-11-15 16:00:00,15874.8,18931.6,15639.2,18254.4,94823.32050526
2020-11-22 16:00:00,18253.6,19490.0,16135.1,18116.1,124012.15176941
2020-11-29 16:00:00,18116.3,19913.3,17931.1,19122.5,140841.45538478
2020-12-06 16:00:00,19123.9,19427.3,17565.0,19220.7,148206.99605131
2020-12-13 16:00:00,19220.8,24193.4,18990.3,23877.8,170326.01123221
2020-12-20 16:00:00,23875.2,28415.9,21928.9,27362.7,139874.3002369
2020-12-27 16:00:00,27362.8,34786.4,25837.1,33517.4,120064.09404779
2021-01-03 16:00:00,33514.6,41950.0,27600.0,39671.0,164851.12818923
2021-01-10 16:00:00,39671.1,40140.3,30416.8,35735.0,198651.57676786
2021-01-17 16:00:00,35733.1,37867.7,28842.2,31953.6,142049.31617443
2021-01-24 16:00:00,31956.3,38562.5,29230.5,32859.6,155051.44089648
