datetime,Open,High,Low,Close,Volume
2017-09-30 16:00:00,1.0,6381.5,1.0,6335.0,944.05149632
2017-10-31 16:00:00,6335.0,11308.1,5100.0,9133.1,113782.9920532
2017-11-30 16:00:00,9133.1,19821.9,9097.4,13234.7,496898.16813822
2017-12-31 16:00:00,13234.7,17137.4,9150.0,10028.9,1393426.08886822
2018-01-31 16:00:00,10028.9,11774.0,6032.3,10507.7,1807840.78541602
2018-02-28 16:00:00,10501.5,11684.6,6570.3,7050.0,1382599.78460824
2018-03-31 16:00:00,7050.0,9758.3,6432.8,9302.3,1140627.8509742
2018-04-30 16:00:00,9309.6,9997.0,6002.0,7552.1,966134.78237836
2018-05-31 16:00:00,7554.7,7774.0,5750.8,6380.2,730185.40155001
2018-06-30 16:00:00,6379.1,8488.8,6075.4,7753.3,723198.47046871
2018-07-31 16:00:00,7753.3,7931.0,5880.0,6958.1,1446420.83981264
2018-08-31 16:00:00,6958.1,7414.8,6101.0,6602.8,763936.14370325
2018-09-30 16:00:00,6604.3,8100.0,6206.6,6392.1,572175.52767151
2018-10-31 16:00:00,6395.0,6640.0,3681.9,4029.1,1052483.99823247
2018-11-30 16:00:00,4029.1,4310.4,3155.2,3752.6,1516692.92013108
2018-12-31 16:00:00,3754.1,4065.0,3351.2,3434.2,1073554.95484623
2019-01-31 16:00:00,3435.1,4199.0,3379.8,3851.8,1090419.2141528
2019-02-28 16:00:00,3852.0,4143.5,3673.3,4097.5,1770576.76919083
2019-03-31 16:00:00,4097.2,5600.5,4070.5,5312.1,3163801.13235199
2019-04-30 16:00:00,5312.3,9065.5,5285.9,8348.4,4035842.12890322
2019-05-31 16:00:00,8353.7,13971.4,7417.3,11151.1,3411316.58406092
2019-06-30 16:00:00,11151.2,13150.0,9056.8,10046.9,1798682.17223465
2019-07-31 16:00:00,10047.0,12307.6,9320.0,9592.1,1033961.21882065
2019-08-31 16:00:00,9592.1,10904.6,7660.0,8284.0,807004.3043301
2019-09-30 16:00:00,8286.0,10500.0,7291.1,9212.7,807257.79307705
2019-10-31 16:00:00,9213.9,9524.0,6513.1,7537.7,823055.56778434
2019-11-30 16:00:00,7537.3,7805.2,6434.4,7195.1,717199.2682833
2019-12-31 16:00:00,7195.1,9576.1,6870.7,9336.7,763987.51214718
2020-01-31 16:00:00,9336.7,10502.0,8440.7,8648.4,955584.74150452
2020-02-29 16:00:00,8648.5,9188.6,3791.9,6452.0,2859345.45647874
2020-03-31 16:00:00,6451.8,9456.2,6150.0,8777.2,1879575.73032247
2020-04-30 16:00:00,8777.3,10077.0,8002.0,9477.5,2702632.36568133
2020-05-31 16:00:00,9477.5,10367.3,8818.0,9167.9,2043516.09600433
2020-06-30 16:00:00,9167.9,11386.0,8906.3,11348.1,1304687.34054975
2020-07-31 16:00:00,11347.3,12450.0,10422.0,11741.4,1419214.31688631
2020-08-31 16:00:00,11741.4,12050.9,9833.6,10777.7,1215881.01012531
2020-09-30 16:00:00,10777.7,13950.0,10375.0,13717.5,885596.47854584
2020-10-31 16:00:00,13714.8,19888.0,13074.0,19314.0,493025.31617858
2020-11-30 16:00:00,19314.3,29309.0,17565.0,28780.7,636034.11601424
2020-12-31 16:00:00,28780.0,41950.0,27600.0,32859.6,719150.22512829
2021-01-31 16:00:00,32862.2,58318.0,32170.2,43395.9,446210.20625386
2021-02-28 16:00:00,43392.6,61829.0,43001.0,59286.3,439532.09518536
2021-03-31 16:00:00,59291.9,64846.9,46988.1,57142.1,395462.40148824
2021-04-30 16:00:00,57142.0,59541.6,29000.0,36965.2,890169.18857895
2021-05-31 16:00:00,36962.6,41324.4,28808.0,34195.0,686046.31406654
2021-06-30 16:00:00,34195.0,42405.6,29263.7,41550.4,560988.64360098
2021-07-31 16:00:00,41542.4,50504.0,37307.2,47396.2,491514.0511401
2021-08-31 16:00:00,47396.2,52920.3,39566.8,43144.7,542022.1237289
2021-09-30 16:00:00,43144.8,66999.0,42824.3,60450.1,461510.78043971
2021-10-31 16:00:00,60450.1,69040.1,53257.8,57232.1,382730.00357899
2021-11-30 16:00:00,57232.2,59048.7,41241.7,47997.0,438683.77891389
2021-12-31 16:00:00,47999.0,48114.2,32928.1,37720.0,386768.90542735
2022-01-31 16:00:00,37720.9,45832.2,34322.0,40823.1,213200.56109743
2022-02-28 16:00:00,40823.2,48184.8,37158.8,46453.4,279744.28571276
2022-03-31 16:00:00,46453.4,47440.0,37700.0,38469.1,220252.05754388
2022-04-30 16:00:00,38469.1,40033.3,26700.0,32056.1,385407.88818185
2022-05-31 16:00:00,32057.4,32408.5,17618.0,19141.4,444649.0199744
2022-06-30 16:00:00,19143.8,24666.0,18616.0,23771.6,466672.77155952
2022-07-31 16:00:00,23772.6,25205.0,19523.9,20144.9,381884.27499845
2022-08-31 16:00:00,20145.0,22800.0,18144.5,19750.6,324528.58709
2022-09-30 16:00:00,19751.7,21080.0,18155.0,20400.0,250241.86839589
2022-10-31 16:00:00,20400.0,21475.9,15450.0,16865.4,318666.87327884
2022-11-30 16:00:00,16865.7,18377.1,16248.6,16595.0,161717.28902362
2022-12-31 16:00:00,16595.0,23963.0,16477.6,23122.3,249261.0787976
2023-01-31 16:00:00,23123.5,25320.0,21356.5,23521.0,223433.21181232
2023-02-28 16:00:00,23521.1,29183.7,19529.7,28492.2,509024.21092554
2023-03-31 16:00:00,28492.3,31043.4,26902.6,29661.9,274034.31263166
2023-04-30 16:00:00,29661.8,29867.1,25791.7,26906.5,264808.36001725
