datetime,Open,High,Low,Close,Volume
2020-12-20 16:00:00,23875.2,23999.8,23630.0,23930.3,2133.25984482
2020-12-20 20:00:00,23929.3,24299.2,23100.0,23471.7,3219.67025901
2020-12-21 00:00:00,23469.0,24032.2,23300.0,23947.3,2780.10568368
2020-12-21 04:00:00,23948.1,24125.9,23693.9,23985.0,3008.38245514
2020-12-21 08:00:00,23985.0,24083.9,22340.0,22648.5,9150.21305415
2020-12-21 12:00:00,22644.5,23219.9,21928.9,23102.7,6717.39193555
2020-12-21 16:00:00,23102.0,23326.5,22644.9,22818.1,3739.81725287
2020-12-21 20:00:00,22826.3,23231.7,22696.0,22722.1,1670.79253833
2020-12-22 00:00:00,22726.1,22966.1,22464.5,22847.5,2419.73677704
2020-12-22 04:00:00,22848.8,23080.0,22495.4,22655.9,3231.57713448
2020-12-22 08:00:00,22655.5,23165.8,22372.6,23121.9,3517.09480765
2020-12-22 12:00:00,23121.8,23660.0,23067.5,23344.0,3754.27373044
2020-12-22 16:00:00,23344.0,23523.1,23223.1,23409.2,2098.64636874
2020-12-22 20:00:00,23408.9,23840.0,23277.0,23816.0,2541.97489013
2020-12-23 00:00:00,23816.1,24060.0,23565.9,23707.3,3196.54746336
2020-12-23 04:00:00,23707.4,23713.5,23327.6,23562.3,2819.27057514
2020-12-23 08:00:00,23562.3,23735.2,22806.0,23074.2,4434.44303008
2020-12-23 12:00:00,23074.2,24150.0,22935.5,23452.1,5534.73415292
2020-12-23 16:00:00,23452.2,23687.6,23347.6,23550.6,2406.0055778
2020-12-23 20:00:00,23552.3,23625.9,22604.2,23224.2,3014.08814063
2020-12-24 00:00:00,23228.5,23240.0,22700.1,22884.4,2790.95676662
2020-12-24 04:00:00,22888.0,23214.8,22781.8,23173.2,2439.93697034
2020-12-24 08:00:00,23174.3,23479.4,23042.6,23215.0,2387.29562839
2020-12-24 12:00:00,23215.0,23426.4,23015.9,23234.6,2286.40086451
2020-12-24 16:00:00,23234.7,23468.8,23109.4,23292.1,1857.66573192
2020-12-24 20:00:00,23292.2,23805.1,23260.5,23738.4,1608.59349844
2020-12-25 00:00:00,23735.7,23833.5,23437.6,23485.5,2096.27810064
2020-12-25 04:00:00,23486.5,23693.0,23456.1,23652.4,1889.90830658
2020-12-25 08:00:00,23657.3,24688.0,23600.0,24568.9,4747.45454805
2020-12-25 12:00:00,24567.2,24638.6,23689.2,24025.7,4044.00533079
2020-12-25 16:00:00,24025.8,24535.0,23993.1,24452.4,2379.03367853
2020-12-25 20:00:00,24452.4,24786.8,24213.4,24707.1,2261.82753277
2020-12-26 00:00:00,24708.0,25041.5,24495.0,24907.1,2824.65638755
2020-12-26 04:00:00,24906.3,24937.1,24655.7,24780.8,2600.4623267
2020-12-26 08:00:00,24780.8,25000.0,24567.2,24836.7,2421.60085977
2020-12-26 12:00:00,24835.4,25693.0,24739.2,25625.6,3644.73571141
2020-12-26 16:00:00,25627.0,26005.0,25570.2,25933.0,3480.7405741
2020-12-26 20:00:00,25934.6,26868.0,25810.7,26491.9,3689.14511691
2020-12-27 00:00:00,26494.8,26966.0,26448.9,26572.1,3211.37430989
2020-12-27 04:00:00,26574.5,27782.5,26574.5,27634.9,4185.93633445
2020-12-27 08:00:00,27635.6,28415.9,27000.0,27640.0,6019.80244294
2020-12-27 12:00:00,27639.9,27782.7,26591.5,27362.7,5618.46354364
2020-12-27 16:00:00,27362.8,27488.0,26583.7,27080.5,3576.0617177
2020-12-27 20:00:00,27078.9,27093.1,25837.1,26290.0,2959.56817859
2020-12-28 00:00:00,26294.3,27360.5,26103.3,27275.2,2691.55197091
2020-12-28 04:00:00,27275.2,27315.6,26817.4,26983.2,2584.90551552
2020-12-28 08:00:00,26984.9,27032.6,26555.0,26854.3,2125.81094472
2020-12-28 12:00:00,26854.2,27510.3,26705.1,26910.0,3028.86909476
2020-12-28 16:00:00,26910.7,27240.7,26727.2,26990.9,2158.59502413
