datetime,OI_Usd,OI_Contracts
2025-03-29 08:00:00,2009465931.8654718,2398843.8700000024
2025-03-29 08:00:00,2009465931.8654718,2398843.8700000024
2025-03-29 12:00:00,1939747033.4986036,2358011.0300000045
2025-03-29 16:00:00,1918497577.168232,2328067.5100000026
2025-03-29 20:00:00,1878614422.348041,2272750.220000001
2025-03-30 00:00:00,1854020638.7463691,2242896.229999999
2025-03-30 04:00:00,1905670379.1470115,2294216.6100000017
2025-03-30 08:00:00,1877792500.9366822,2260573.080000003
2025-03-30 12:00:00,1891023590.8209114,2275317.9700000016
2025-03-30 16:00:00,1863825835.5473812,2253395.0200000014
2025-03-30 20:00:00,1827122544.2415407,2213457.1400000006
2025-03-31 00:00:00,1808716956.4712813,2195527.1200000015
2025-03-31 04:00:00,1828948781.374942,2243508.8300000024
2025-03-31 08:00:00,1854360298.5098414,2263523.940000002
2025-03-31 12:00:00,1852960767.9599993,2254210.1799999992
2025-03-31 16:00:00,1783610121.5153983,2138567.399999998
2025-03-31 20:00:00,1702246007.25712,2065163.3599999999
2025-04-01 00:00:00,1736006908.0131695,2102922.769999999
2025-04-01 04:00:00,1747387760.47165,2106390.4099999997
2025-04-01 08:00:00,1765019220.8885598,2114874.44
2025-04-01 12:00:00,1830977866.54272,2181480.74
2025-04-01 16:00:00,1824484112.652638,2139946.4599999976
2025-04-01 20:00:00,1881497095.6236005,2216835.6000000006
2025-04-02 00:00:00,1888729810.4047112,2217680.5900000012
2025-04-02 04:00:00,1867185770.4048011,2207231.9200000013
2025-04-02 08:00:00,1843998582.148801,2183445.800000001
2025-04-02 12:00:00,1808116913.901902,2138626.700000002
2025-04-02 16:00:00,2008591809.6300015,2316714.890000002
2025-04-02 20:00:00,1996569521.47968,2296554.68
2025-04-03 00:00:00,1765432056.7058418,2138743.280000002
2025-04-03 04:00:00,1728968598.2775815,2071469.5100000016
2025-04-03 08:00:00,1739698435.0876813,2084564.6400000018
2025-04-03 12:00:00,1747856502.9317515,2103289.250000002
2025-04-03 16:00:00,1775983475.7010396,2164344.8599999994
2025-04-03 20:00:00,1762803380.6630094,2149453.5299999993
2025-04-04 00:00:00,1788942379.4806788,2151686.6199999987
2025-04-04 04:00:00,1777212169.6369977,2146215.249999997
2025-04-04 08:00:00,1802947119.31944,2146626.28
2025-04-04 12:00:00,1792813019.633571,2167586.570000001
2025-04-04 16:00:00,1744268918.3087194,2104726.479999999
2025-04-04 20:00:00,1770998821.1982017,2109482.100000002
2025-04-05 00:00:00,1792223617.4751515,2136817.4900000016
2025-04-05 04:00:00,1832008069.7929528,2189822.9500000034
2025-04-05 08:00:00,1812554641.369851,2170316.050000001
2025-04-05 12:00:00,1844075729.9090412,2209124.7600000016
2025-04-05 16:00:00,1831726685.4170415,2216977.520000002
2025-04-05 20:00:00,1812422497.34854,2187135.71
2025-04-06 00:00:00,1799395671.803521,2153621.120000001
2025-04-06 04:00:00,1796997393.2227223,2156286.4700000025
2025-04-06 08:00:00,1811175718.6940012,2181350.9800000014
2025-04-06 12:00:00,1825362782.986601,2202998.6000000015
2025-04-06 16:00:00,1814973362.7564023,2197841.8000000026
