timestamp,open,close,low,high,monthly_return_pct
2024-11-30,100000.0,99397.72850164164,97915.77184583351,102888.8282449355,-0.6022714983583533
2024-12-31,99415.7991350988,99135.64960373008,93116.09711368916,100529.50252544232,-0.2817957847806585
2025-01-31,99228.9569122424,97066.98607692166,91930.58881011789,101900.53277663808,-2.178770091509452
2025-02-28,97132.20153803864,97952.16941556158,94960.75683999392,100241.04617315688,0.8441771776395157
2025-03-31,98533.72705738296,102150.24908821571,98002.10733204376,103580.42392892308,3.670339221743446
2025-04-30,102328.4350761574,105494.15561761122,102275.35665018178,106932.9978987588,3.093686069857071
2025-05-31,105699.09044304748,103789.70947145535,103191.19758940898,107922.85446693044,-1.8064308440013832
2025-06-30,103671.00452350988,103848.52560391018,100917.87935455784,104031.10611580784,0.17123503453662092
2025-07-31,103828.36948520465,103132.71108266148,102281.1516210968,105400.38010963438,-0.6700080199586456
2025-08-31,103017.85978808982,100115.53881581136,100115.53881581136,103399.51353608584,-2.81729884337395
2025-09-30,99923.17841068264,97554.17281461168,95729.54501221968,101227.57276859744,-2.370826902977785
2025-10-31,97513.08148221008,95863.39110828986,91867.36312798594,97513.08148221008,-1.6917631448465587
2025-11-30,96113.26626030456,86521.01653878175,85107.57492059006,96496.49035147336,-9.980151642692093
