timestamp,price,open,high,low,close,net_value,alpha,position_size,avg_price,decision_made,decision_type,quantity_pct,take_profit_price,stop_loss_price,similar_pattern_found
2024-11-06T16:00:00,75814.1,,,,,100000.0,-0.02042763848584873,,,False,HOLD,,,,NO
2024-11-06T20:00:00,75584.8,,,,,100000.0,-0.017341351667106465,,,False,HOLD,,,,NO
2024-11-07T00:00:00,75040.0,,,,,100000.0,-0.010008560307094367,,,False,HOLD,,,,NO
2024-11-07T04:00:00,74768.6,,,,,100000.0,-0.0063556242294379225,,,True,SHORT,,,,NO
2024-11-07T08:00:00,74752.0,,,,,99996.1100916695,-0.006171093913741013,,,False,HOLD,,,,NO
2024-11-07T12:00:00,76056.3,,,,,99908.88764802337,-0.024598677694665838,,,False,HOLD,,,,NO
2024-11-07T16:00:00,76510.0,76056.5,76700.0,75550.6,76510.0,99874.10031751297,-125.89968248703293,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2024-11-07T20:00:00,75860.3,,,,,99874.10031751297,-0.022308468939266236,,,False,HOLD,,,,YES
2024-11-08T00:00:00,75898.9,,,,,99874.10031751297,-0.022828009589957135,,,False,HOLD,,,,YES
2024-11-08T04:00:00,76156.5,,,,,99874.10031751297,-0.02629520315519052,,,False,HOLD,,,,NO
2024-11-08T08:00:00,75936.7,,,,,99874.10031751297,-0.023336782558768584,,,False,HOLD,,,,NO
2024-11-08T12:00:00,76418.8,,,,,99874.10031751297,-0.02982565685146656,,,False,HOLD,,,,NO
2024-11-08T16:00:00,76906.0,,,,,99874.10031751297,-0.03638317511614691,,,True,SHORT,,,,NO
2024-11-08T20:00:00,76499.1,,,,,100024.09185069716,-0.029406547588290192,,,False,HOLD,,,,NO
2024-11-09T00:00:00,76340.0,,,,,100095.4495684572,-0.02655154767688298,,,False,HOLD,,,,NO
2024-11-09T04:00:00,76531.8,,,,,100008.27108622805,-0.030004884229810208,,,False,HOLD,,,,NO
2024-11-09T08:00:00,76489.3,,,,,100027.58852884921,-0.029239676703744485,,,False,HOLD,,,,NO
2024-11-09T12:00:00,76321.2,,,,,100103.99469601669,-0.026213055877117364,,,False,HOLD,,,,NO
2024-11-09T16:00:00,76209.0,,,,,100154.99274453655,-0.02419290800830397,,,False,HOLD,,,,NO
2024-11-09T20:00:00,76675.0,,,,,99943.1826677963,-0.03258318347057729,,,False,HOLD,,,,NO
2024-11-10T00:00:00,77204.7,,,,,99701.46145667501,-0.0421299469463246,,,False,HOLD,,,,NO
2024-11-10T04:00:00,78827.7,77204.8,79787.2,77136.1,78827.7,99213.52558246757,-660.5747350454272,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2024-11-10T08:00:00,79841.6,,,,,99213.52558246757,-0.08250093112381726,,,True,LONG,,,,NO
2024-11-10T12:00:00,79687.3,,,,,99111.69264365456,-0.0814424438694182,,,False,HOLD,,,,NO
2024-11-10T16:00:00,79742.9,79687.2,81055.2,79317.8,79742.9,99256.34714097244,42.82155850487571,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0,YES
2024-11-10T20:00:00,80360.0,,,,,99256.34714097244,-0.08905017339675349,,,True,LONG,,,,YES
2024-11-11T00:00:00,81610.1,,,,,99762.54638412953,-0.10081402986230291,,,False,HOLD,,,,YES
2024-11-11T04:00:00,81104.4,,,,,99543.93168574455,-0.09619365593800622,,,False,HOLD,,,,NO
2024-11-11T08:00:00,82136.1,,,,,99989.93679613367,-0.1056198765781028,,,False,HOLD,,,,NO
2024-11-11T12:00:00,84068.2,82136.0,84288.0,81460.4,84068.2,100845.76340952645,1589.4162685540123,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0,YES
2024-11-11T16:00:00,86091.6,,,,,100845.76340952645,-0.15030106753765463,,,True,LONG,,,,YES
2024-11-11T20:00:00,88640.0,,,,,101855.22480286064,-0.1745069042317993,,,False,HOLD,,,,NO
2024-11-12T00:00:00,88060.0,,,,,101617.43516981708,-0.16907823119952017,,,False,HOLD,,,,NO
2024-11-12T04:00:00,89011.8,,,,,102007.6561572841,-0.17798687084111187,,,False,HOLD,,,,NO
2024-11-12T08:00:00,87156.1,89011.8,89400.0,85323.0,87156.1,101971.1629102866,1125.3995007601504,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2024-11-12T12:00:00,86611.9,,,,,101971.1629102866,-0.14605010363250207,,,True,LONG,,,,NO
2024-11-12T16:00:00,88697.9,,,,,102677.38273797563,-0.1670646358566859,,,False,HOLD,,,,YES
2024-11-12T20:00:00,87944.5,88698.0,89852.0,87400.0,87944.5,102420.97344978421,449.810539497611,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2024-11-13T00:00:00,87139.1,,,,,102420.97344978421,-0.14864790059618682,,,True,LONG,,,,YES
2024-11-13T04:00:00,87357.6,,,,,102475.01278388262,-0.15104843036857032,,,False,HOLD,,,,NO
2024-11-13T08:00:00,87666.5,,,,,102602.08827059896,-0.15393534666716985,,,False,HOLD,,,,NO
2024-11-13T12:00:00,92525.6,87660.1,92666.0,87487.5,92525.6,102563.39376432479,142.42031454057843,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2024-11-13T16:00:00,90176.9,,,,,102563.39376432479,-0.18811127746811684,,,False,HOLD,,,,NO
2024-11-13T20:00:00,90378.4,,,,,102563.39376432479,-0.19082338734154275,,,True,SHORT,,,,YES
2024-11-14T00:00:00,89936.2,,,,,102703.13297251455,-0.1834741591006927,,,False,HOLD,,,,NO
2024-11-14T04:00:00,90781.0,,,,,102367.58881297824,-0.19820027276092037,,,False,HOLD,,,,YES
2024-11-14T08:00:00,91483.8,90780.0,91663.0,90332.1,91483.8,102331.92930227374,-231.46446205104283,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2024-11-14T12:00:00,87954.9,,,,,102331.92930227374,-0.1605186856680202,,,False,HOLD,,,,NO
2024-11-14T16:00:00,89464.0,,,,,102331.92930227374,-0.18083057157366306,,,False,HOLD,,,,YES
2024-11-14T20:00:00,87330.0,,,,,102331.92930227374,-0.15210778015981258,,,False,HOLD,,,,NO
2024-11-15T00:00:00,88201.9,,,,,102331.92930227374,-0.16384320744834868,,,True,SHORT,,,,NO
2024-11-15T04:00:00,87623.9,,,,,102888.8282449355,-0.15049456786371532,,,False,HOLD,,,,NO
