timestamp,bar_number,agent_name,input_tokens,output_tokens,total_tokens,model,notes
2026-01-08T14:21:32.324627,4421,S,1845,1647,3492,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:21:36.246722,4421,A,5191,733,5924,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:21:39.371248,4421,B,3029,501,3530,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:21:49.535400,4422,S,1845,2031,3876,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:21:53.656100,4422,A,5577,615,6192,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:21:56.875436,4422,B,2910,540,3450,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:07.866399,4424,S,1845,2102,3947,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:11.587486,4424,A,5672,633,6305,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:14.908005,4424,B,2950,549,3499,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:25.416200,4425,S,1845,2076,3921,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:29.135766,4425,A,5653,654,6307,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:31.750074,4425,B,2981,371,3352,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:44.506984,4426,S,1836,1899,3735,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:49.031485,4426,A,5507,794,6301,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:22:52.347050,4426,B,3152,547,3699,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:04.600221,4428,S,1837,1779,3616,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:07.724966,4428,A,5406,445,5851,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:10.639606,4428,B,2823,472,3295,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:25.726752,4429,S,1837,2240,4077,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:29.245868,4429,A,5872,551,6423,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:31.962970,4429,B,2928,513,3441,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:40.479627,4430,S,1845,1460,3305,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:44.863123,4430,A,5052,742,5794,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:47.875073,4430,B,3088,449,3537,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:23:57.834936,4431,S,1845,1872,3717,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:01.600148,4431,A,5468,720,6188,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:04.631112,4431,B,3066,518,3584,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:14.828061,4432,S,1845,1971,3816,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:18.347905,4432,A,5568,673,6241,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:21.167653,4432,B,3019,474,3493,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:29.514188,4433,S,1845,1415,3260,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:33.672231,4433,A,5015,685,5700,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:37.296023,4433,B,3041,521,3562,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:47.230679,4434,S,1845,1926,3771,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:51.066532,4434,A,5533,580,6113,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:24:53.891210,4434,B,2936,465,3401,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:04.699623,4435,S,1845,1965,3810,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:08.853421,4435,A,5572,683,6255,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:11.575081,4435,B,3039,384,3423,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:20.709420,4436,S,1845,1842,3687,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:24.528510,4436,A,5446,640,6086,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:28.151225,4436,B,2996,516,3512,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:36.431241,4437,S,1845,1538,3383,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:41.749571,4437,A,5138,1059,6197,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:44.873871,4437,B,3415,525,3940,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:53.741477,4439,S,1845,1793,3638,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:57.282493,4439,A,5418,664,6082,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:25:59.794955,4439,B,3042,398,3440,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:09.408961,4440,S,1845,1952,3797,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:13.443705,4440,A,5579,795,6374,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:16.359482,4440,B,3172,453,3625,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:25.892191,4441,S,1845,1676,3521,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:29.812006,4441,A,5314,618,5932,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:32.928295,4441,B,3006,496,3502,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:42.078790,4442,S,1845,1704,3549,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:46.580111,4442,A,5340,860,6200,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:49.820685,4442,B,3247,588,3835,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:26:59.286119,4444,S,1845,1549,3394,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:03.284541,4444,A,5207,722,5929,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:06.090573,4444,B,3131,463,3594,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:14.440274,4445,S,1845,1699,3544,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:18.464212,4445,A,5356,748,6104,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:21.498470,4445,B,3157,455,3612,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:34.839254,4446,S,1836,2211,4047,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:40.094441,4446,A,5913,649,6562,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:43.911157,4446,B,3099,574,3673,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:27:57.293182,4447,S,1836,2100,3936,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:02.284181,4447,A,5802,779,6581,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:05.499668,4447,B,3228,474,3702,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:15.771367,4448,S,1845,1950,3795,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:20.604880,4448,A,5620,873,6493,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:23.825301,4448,B,3292,509,3801,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:35.847388,4449,S,1836,2092,3928,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:39.906211,4449,A,5795,694,6489,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:42.923165,4449,B,3144,480,3624,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:55.552738,4451,S,1836,2095,3931,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:28:59.783684,4451,A,5829,595,6424,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:29:03.514211,4451,B,3075,661,3736,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:29:15.984863,4452,S,1836,2020,3856,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:29:20.921473,4452,A,5765,687,6452,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:29:25.242085,4452,B,3177,582,3759,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:29:39.863976,4454,S,1837,2238,4075,Qwen3-Next-80B-A3B-Instruct,Estimated from text
2026-01-08T14:29:43.889228,4454,A,6007,732,6739,Qwen3-Next-80B-A3B-Instruct,Estimated from text
