timestamp,price,open,high,low,close,net_value,alpha,position_size,avg_price,decision_made,decision_type,quantity_pct,take_profit_price,stop_loss_price
2024-11-06T16:00:00,75814.1,,,,,100000.0,-0.02042763848584873,,,True,LONG,,,
2024-11-06T20:00:00,75584.8,,,,,99798.70881537868,-0.019354263513319713,,,False,HOLD,,,
2024-11-07T00:00:00,75040.0,,,,,99439.40889623435,-0.015614471344750845,,,False,HOLD,,,
2024-11-07T04:00:00,74768.6,,,,,99260.41844459012,-0.013751439783536731,,,False,HOLD,,,
2024-11-07T08:00:00,74752.0,,,,,99249.47061298625,-0.013637488700573547,,,False,HOLD,,,
2024-11-07T12:00:00,76056.3,,,,,100109.66680340465,-0.022590886140853125,,,False,HOLD,,,
2024-11-07T16:00:00,76510.0,,,,,100408.88555031319,-0.025705320257739476,,,False,HOLD,,,
2024-11-07T20:00:00,75860.3,,,,,99980.40324952747,-0.02124543961912124,,,False,HOLD,,,
2024-11-08T00:00:00,75898.9,,,,,100005.86025554614,-0.021510410209625467,,,True,CLOSE,,,
2024-11-08T04:00:00,76156.5,75898.9,76224.9,75683.5,76156.5,99955.80432927384,-44.19567072615971,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0
2024-11-08T08:00:00,75936.7,,,,,99955.80432927384,-0.022519742441159882,,,False,HOLD,,,
2024-11-08T12:00:00,76418.8,,,,,99955.80432927384,-0.029008616733857857,,,False,HOLD,,,
2024-11-08T16:00:00,76906.0,,,,,99955.80432927384,-0.0355661349985382,,,True,LONG,,,
2024-11-08T20:00:00,76499.1,,,,,99767.16150087558,-0.03197585108650608,,,False,HOLD,,,
2024-11-09T00:00:00,76340.0,,,,,99705.12615199985,-0.030454781841456495,,,False,HOLD,,,
2024-11-09T04:00:00,76531.8,,,,,99779.91169514481,-0.03228847814064263,,,False,HOLD,,,
2024-11-09T08:00:00,76489.3,,,,,99763.34034173678,-0.03188215857486881,,,False,HOLD,,,
2024-11-09T12:00:00,76321.2,,,,,99697.79576508052,-0.030275045186479034,,,False,HOLD,,,
2024-11-09T16:00:00,76209.0,,,,,99654.04739208332,-0.029202361532836264,,,False,HOLD,,,
2024-11-09T20:00:00,76675.0,,,,,99835.74740827494,-0.03365753606579086,,,False,HOLD,,,
2024-11-10T00:00:00,77204.7,,,,,100042.28495886871,-0.03872171192438761,,,False,HOLD,,,
2024-11-10T04:00:00,78827.7,,,,,100675.11570195667,-0.05423833910675974,,,False,HOLD,,,
2024-11-10T08:00:00,79841.6,,,,,101070.44970714269,-0.06393168987706607,,,False,HOLD,,,
2024-11-10T12:00:00,79687.3,79841.6,80100.0,79172.0,79687.3,101139.97140861687,1184.167079343011,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0
2024-11-10T16:00:00,79742.9,,,,,101139.97140861687,-0.061908010110427666,,,True,LONG,,,
2024-11-10T20:00:00,80360.0,,,,,101344.39647073178,-0.06816968009916013,,,False,HOLD,,,
2024-11-11T00:00:00,81610.1,,,,,101820.05666715521,-0.0802389270320461,,,False,HOLD,,,
2024-11-11T04:00:00,81104.4,,,,,101627.6389715058,-0.07535658308039371,,,False,HOLD,,,
2024-11-11T08:00:00,82136.1,,,,,102020.19846646625,-0.08531725987477703,,,False,HOLD,,,
2024-11-11T12:00:00,84068.2,82136.0,84288.0,81460.4,84068.2,102806.92011277248,1666.9487041556183,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0
2024-11-11T16:00:00,86091.6,,,,,102806.92011277248,-0.13068950050519432,,,False,HOLD,,,
2024-11-11T20:00:00,88640.0,,,,,102806.92011277248,-0.1649899511326809,,,True,LONG,,,
2024-11-12T00:00:00,88060.0,,,,,102574.23359414577,-0.15951024695623325,,,False,HOLD,,,
2024-11-12T04:00:00,89011.8,,,,,102905.41012809207,-0.16900933113303215,,,False,HOLD,,,
2024-11-12T08:00:00,87156.1,89011.8,89400.0,85323.0,87156.1,101827.53802590791,-979.3820868645682,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0
2024-11-12T12:00:00,86611.9,,,,,101827.53802590791,-0.14748635247628897,,,True,LONG,,,
2024-11-12T16:00:00,88697.9,,,,,103002.9132383086,-0.1638093308533562,,,False,HOLD,,,
2024-11-12T20:00:00,87944.5,,,,,102560.03606352824,-0.15809763819104033,,,False,HOLD,,,
2024-11-13T00:00:00,87139.1,,,,,102086.5913109823,-0.15199172198420594,,,False,HOLD,,,
2024-11-13T04:00:00,87357.6,,,,,102215.03392140107,-0.15364821899338574,,,False,HOLD,,,
2024-11-13T08:00:00,87666.5,,,,,102396.61709008923,-0.15599005847226718,,,False,HOLD,,,
2024-11-13T12:00:00,92525.6,87660.1,92666.0,87487.5,92525.6,104009.05681722294,2181.518791315038,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0
2024-11-13T16:00:00,90176.9,,,,,104009.05681722294,-0.17365464693913538,,,False,HOLD,,,
2024-11-13T20:00:00,90378.4,,,,,104009.05681722294,-0.17636675681256128,,,False,HOLD,,,
2024-11-14T00:00:00,89936.2,,,,,104009.05681722294,-0.1704149206536088,,,False,HOLD,,,
2024-11-14T04:00:00,90781.0,,,,,104009.05681722294,-0.18178559271847336,,,True,LONG,,,
2024-11-14T08:00:00,91483.8,,,,,104219.7604843232,-0.1891379645787052,,,False,HOLD,,,
2024-11-14T12:00:00,87954.9,,,,,103006.82751177729,-0.15376970357298472,,,False,HOLD,,,
2024-11-14T16:00:00,89464.0,,,,,103525.5265819887,-0.16889459877651347,,,False,HOLD,,,
2024-11-14T20:00:00,87330.0,89463.9,89463.9,86666.6,87330.0,102648.71170682515,-1360.3451103977768,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0
2024-11-15T00:00:00,88201.9,,,,,102648.71170682515,-0.16067538340283455,,,False,HOLD,,,
2024-11-15T04:00:00,87623.9,,,,,102648.71170682515,-0.1528957332448188,,,True,SHORT,,,
2024-11-15T08:00:00,89731.9,,,,,101877.53630315392,-0.18898032903429446,,,False,HOLD,,,
2024-11-15T12:00:00,88439.9,,,,,102331.59781670861,-0.1670499076631829,,,False,HOLD,,,
2024-11-15T16:00:00,90374.2,,,,,101651.80587733643,-0.19988273588155844,,,False,HOLD,,,
2024-11-15T20:00:00,91022.9,,,,,101423.82623039918,-0.21089377639505688,,,False,HOLD,,,
2024-11-16T00:00:00,91248.1,,,,,101343.83806168858,-0.21472476053127224,,,False,HOLD,,,
2024-11-16T04:00:00,91117.9,,,,,101389.59565384401,-0.21251474438381188,,,False,HOLD,,,
2024-11-16T08:00:00,91169.9,,,,,101371.32073224583,-0.21339739292196808,,,False,HOLD,,,
2024-11-16T12:00:00,90527.8,,,,,101596.98086990332,-0.20249838087677413,,,False,HOLD,,,
2024-11-16T16:00:00,91108.4,,,,,101392.93434144367,-0.2123534912854949,,,False,HOLD,,,
2024-11-16T20:00:00,90583.3,,,,,101577.47590550527,-0.2034404384511523,,,False,HOLD,,,
2024-11-17T00:00:00,90247.9,,,,,101694.50544925501,-0.1977557923856297,,,False,HOLD,,,
2024-11-17T04:00:00,90564.4,,,,,101583.2744360661,-0.20312806666113817,,,False,HOLD,,,
