timestamp,open,close,low,high,daily_return_pct
2024-11-06,100000.0,99798.70881537868,99798.70881537868,100000.0,-0.20129118462132167
2024-11-07,99439.40889623437,99980.40324952747,99249.47061298625,100408.8855503132,0.5440442167728765
2024-11-08,100005.86025554614,99767.16150087558,99767.16150087558,100005.86025554614,-0.23868476713325704
2024-11-09,99705.12615199984,99835.74740827494,99654.04739208332,99835.74740827494,0.1310075633182306
2024-11-10,100042.28495886872,101344.39647073178,100042.28495886872,101344.39647073178,1.3015611472672717
2024-11-11,101820.0566671552,102806.92011277248,101627.6389715058,102806.92011277248,0.9692230371107557
2024-11-12,102574.23359414576,102560.03606352824,101827.53802590792,103002.9132383086,-0.013841225149868741
2024-11-13,102086.5913109823,104009.05681722294,102086.5913109823,104009.05681722294,1.8831714151217982
2024-11-14,104009.05681722294,102648.71170682515,102648.71170682515,104219.7604843232,-1.3079102455359704
2024-11-15,102648.71170682515,101423.82623039918,101423.82623039918,102648.71170682515,-1.1932789569969127
2024-11-16,101343.83806168858,101577.47590550529,101343.83806168858,101596.98086990332,0.2305397627377026
2024-11-17,101694.505449255,101830.8293355614,101539.80120911045,101830.8293355614,0.13405236173200663
2024-11-18,101550.27390231082,101650.58206514864,101177.570933948,101683.39967733753,0.09877685109380696
2024-11-19,101650.58206514864,101879.95583383276,101650.58206514864,101898.4294052306,0.22564924275310094
2024-11-20,101879.95583383276,102791.15114103032,101879.95583383276,102791.15114103032,0.8943813331483197
2024-11-21,103284.77774339616,103975.5714673427,103284.77774339616,103975.5714673427,0.668824331173723
2024-11-22,104253.52016154263,104280.24395816162,104152.2984795076,104427.48995659602,0.02563347173081265
2024-11-23,104227.80815755672,104474.0929516516,104227.80815755672,104526.89373125671,0.2362947071884891
2024-11-24,104306.45689915554,104399.17557584196,104241.1540118795,105027.1367707852,0.08889063960446641
2024-11-25,104404.88727513848,104706.1311937664,104309.0589371532,105288.34839639216,0.28853430762685317
2024-11-26,103619.6092080736,104082.58338567274,103619.6092080736,104084.15667859222,0.4468017020499149
2024-11-27,104294.93131108486,104744.8815553465,104294.93131108486,104744.8815553465,0.4314210082938308
2024-11-28,104744.8815553465,104824.47887247386,104614.01090427834,104824.47887247386,0.07599160545646022
2024-11-29,105145.34113136632,105499.36783982524,104817.7853118372,105571.420887754,0.33670223012221
2024-11-30,105763.66518586424,106020.02630799085,105719.41135390537,106020.02630799085,0.2423905427975548
2024-12-01,106042.3997357512,105644.9506705906,105644.9506705906,106042.3997357512,-0.3748020283877107
2024-12-02,106145.25606937842,107049.62774516824,106145.25606937842,107117.03300560843,0.852013278105157
2024-12-03,107098.5808136755,107027.26511154584,106740.29313911336,107098.5808136755,-0.06658883954188122
2024-12-04,106999.98551496051,107939.95864152668,106990.06566165676,107939.95864152668,0.8784796764619518
2024-12-05,109121.5635398404,106420.9984303825,106420.9984303825,109154.47868771036,-2.4748225940438573
2024-12-06,106420.9984303825,104527.9800226985,104527.9800226985,106420.9984303825,-1.7788015857813644
2024-12-07,104527.9800226985,104335.4076348879,104267.14059063942,104527.9800226985,-0.18423046897947382
2024-12-08,104287.55917615464,103671.12470134615,103671.12470134615,104422.75588525942,-0.5910910943531134
2024-12-09,104715.73859067398,107323.75865274612,104467.64351215489,107323.75865274612,2.4905712332954133
2024-12-10,107323.75865274612,105942.22491089378,105942.22491089378,107464.90746038612,-1.2872580677335321
2024-12-11,105317.93862062164,106502.56393416866,104611.07325905896,106508.81523075554,1.1248086784287459
2024-12-12,106438.48814415305,105040.59129266068,105040.59129266068,106438.48814415305,-1.3133377557929427
2024-12-13,104849.99660605816,104416.57196697268,104416.57196697268,105321.32129734168,-0.4133759209491883
2024-12-14,104023.83658656989,104364.32728208003,104023.83658656989,104412.54689856572,0.32731987848457766
2024-12-15,104198.1313578185,104299.2289376702,103739.01511892476,104299.2289376702,0.0970243693761752
2024-12-16,104356.31882537632,105388.8050619096,103782.24948980128,105755.67834392651,0.9893854518392642
2024-12-17,105953.78991621568,106526.02457267322,105905.15300111395,106664.82527707702,0.5400794600268988
2024-12-18,106114.80667781274,107940.78237804328,105855.16603095549,107940.78237804328,1.7207548667308892
2024-12-19,107451.95811137054,109518.68592356346,106800.57164737604,109518.68592356346,1.9233970683445678
2024-12-20,109657.7737141064,111610.23919701503,109260.31917203969,111610.23919701503,1.7805080449645017
2024-12-21,111502.6309172405,111377.58146650415,111371.92021531909,112277.36014349636,-0.11214932751600903
2024-12-22,111226.27166210234,110083.2397134577,109806.77885736409,111280.56226251114,-1.0276636369841552
2024-12-23,109057.51814140544,109019.2983128913,108706.70751649626,109105.33019695956,-0.035045569682390365
2024-12-24,109150.89168615003,108880.53015449058,108552.23063342416,109197.28722835232,-0.24769521117321558
2024-12-25,108670.94602564322,109417.47344887975,108566.229372371,109417.47344887975,0.6869613733374358
2024-12-26,109173.5247591591,106727.68435686114,106620.27502919204,109173.5247591591,-2.240323748540296
2024-12-27,106516.14168464002,105515.87640919964,105515.87640919964,108308.62433560012,-0.9390738902295581
2024-12-28,105345.75882372758,105505.48015777764,105122.65616716088,105505.48015777764,0.15161629270459276
2024-12-29,105444.62483460596,105128.49527222678,105113.3610515999,105487.90489419363,-0.29980623751569846
2024-12-30,104962.52639457009,102974.27285387744,102974.27285387744,105127.07565576665,-1.8942508426469273
2024-12-31,102796.40507548743,103390.91592592414,102796.40507548743,104407.77083548583,0.5783381724294046
2025-01-01,103529.7368449902,104018.94318267622,103268.5797903465,104045.68749767412,0.47252736517477967
