timestamp,open,close,low,high,monthly_return_pct
2024-11-30,100000.0,106020.02630799085,99249.47061298625,106020.02630799085,6.020026307990856
2024-12-31,106042.3997357512,103390.91592592414,102796.40507548743,112277.36014349636,-2.500399666958053
2025-01-31,103529.7368449902,110218.7846125289,103268.5797903465,113163.07376226508,6.460991760805768
2025-02-28,110249.98460702514,102901.91242050852,100360.24952324496,113386.21707348897,-6.664919013556392
2025-03-31,103264.73469507945,98476.56343463776,94393.58360283158,105562.7505136155,-4.636792293690794
2025-04-30,98817.42460544613,102784.29268803271,97020.1785891986,104565.21608132627,4.014340687814255
2025-05-31,102955.43891441812,108848.173275335,102955.43891441812,108917.95576429376,5.7235775234907305
2025-06-30,108708.86556004955,113185.065957775,108174.17584447956,115278.48442237652,4.117603817006854
2025-07-31,113202.96169316769,112637.10572016909,108097.86490787363,114504.7967797415,-0.49985968965399197
2025-08-31,112637.10572016909,106117.91131965265,105948.91904566852,113533.5627645959,-5.787785791222699
2025-09-30,105680.53790832774,107143.97946120826,105680.53790832774,109326.52746800656,1.3847786752845481
2025-10-31,107065.80046083836,103984.8846739303,102821.7681455733,109059.74662786144,-2.877590952150011
2025-11-30,104402.84004487176,101206.5217069609,98463.25604806544,106788.20606383184,-3.0615243192015584
