timestamp,open,close,low,high,daily_return_pct
2024-11-06,100000.0,99798.70881537868,99798.70881537868,100000.0,-0.20129118462132167
2024-11-07,99439.40889623437,99980.40324952747,99249.47061298625,100408.8855503132,0.5440442167728765
2024-11-08,100005.86025554614,99703.8885259456,99543.20726070134,100005.86025554614,-0.30195403432249357
2024-11-09,99765.89417104411,99633.6055894348,99633.6055894348,99817.62492982268,-0.13259900360589327
2024-11-10,99276.39464278272,99707.46638655828,99189.0539561586,99707.46638655828,0.43421373764291893
2024-11-11,100796.15910486756,102370.17129056455,100355.75281125182,102370.17129056455,1.561579528104251
2024-11-12,102165.03071752288,102124.17944823611,101652.8512971407,102501.67347169714,-0.03998556942611531
2024-11-13,101839.31700422271,102985.02710466052,101839.31700422271,103744.47165368656,1.1250174629414467
2024-11-14,102743.90328523956,102242.02327799494,101727.9536181608,103537.46493908856,-0.4884766795858364
2024-11-15,101793.68295893064,101150.00463170254,100963.08295836358,102090.06357144336,-0.6323362202031668
2024-11-16,101225.48044100065,100970.44276926188,100951.96194321993,101225.48044100065,-0.25195007287460713
2024-11-17,100940.47922327132,101044.430213705,100940.47922327132,101044.430213705,0.10298246177704584
2024-11-18,100776.57687540204,100344.80604443527,100344.80604443527,100776.57687540204,-0.42844363675955677
2024-11-19,100344.80604443527,100502.22511439514,100325.37960968768,101001.7664506339,0.15687814463476446
2024-11-20,100358.53486296016,100705.71128560673,100308.43709351296,100940.82989745944,0.3459361210490286
2024-11-21,101513.84094944569,102934.08412174053,101513.84094944569,102934.08412174053,1.399063574987891
2024-11-22,103210.96181592534,103552.7076966387,103110.13016422774,103552.7076966387,0.3311139385783868
2024-11-23,103598.16624609144,103906.55691087597,103598.16624609144,103958.82970971486,0.2976796558849859
2024-11-24,103740.59411562882,103832.385653013,103675.9442237956,104454.06755747316,0.08848179265472655
2024-11-25,103838.03722078078,104133.63036453987,103743.16711711884,104712.66418308398,0.28466749918489853
2024-11-26,102878.09698822368,103868.94008332392,102878.09698822368,103919.92827251928,0.9631234675867573
2024-11-27,103868.94008332392,105998.0609009396,103868.94008332392,105998.0609009396,2.0498147144927925
2024-11-28,105998.0609009396,105407.30456485516,105407.30456485516,105998.0609009396,-0.5573274936005901
2024-11-29,105407.30456485516,105819.50575065993,104815.8921513772,106117.91127265134,0.39105561754606555
2024-11-30,105374.9524419381,105325.17458215212,105171.74210017978,105449.14467409688,-0.04723879691752586
2024-12-01,105325.17458215212,104521.82461050976,104521.82461050976,105325.17458215212,-0.7627331023465356
2024-12-02,104521.82461050976,103290.8417813462,103290.8417813462,104769.70140614313,-1.177728033117198
2024-12-03,103290.8417813462,103290.8417813462,103290.8417813462,103290.8417813462,0.0
2024-12-04,103290.8417813462,104271.90938504331,103054.5831759708,104271.90938504331,0.9498108319941023
2024-12-05,104661.75612787768,101363.73150145824,101363.73150145824,104661.75612787768,-3.151126780626401
2024-12-06,101698.21726669076,101445.6349285803,101434.67825673186,101976.84410259644,-0.24836456813013275
2024-12-07,101515.63545663608,101353.26588654311,101282.74604506882,101515.63545663608,-0.15994538118447865
2024-12-08,101325.24334570245,100523.71012661829,100523.71012661829,101325.24334570245,-0.7910498831465662
2024-12-09,100470.90394795686,100520.44267936608,100470.90394795686,100520.44267936608,0.04930654494248454
2024-12-10,100342.31654225074,99297.9860811854,99297.9860811854,100755.08065312574,-1.0407677409217553
2024-12-11,99297.9860811854,100102.86621024631,99297.9860811854,100126.26157834544,0.8105704464165475
2024-12-12,100062.26983533306,99550.08049446667,99290.75252272228,100438.58952578407,-0.5118705998867212
2024-12-13,99419.9460835932,100252.00411476009,99419.9460835932,100278.1498411456,0.8369125753370232
2024-12-14,100579.568470897,100253.34111213204,100208.1307935904,100579.568470897,-0.32434754267149923
2024-12-15,100407.7890678072,100284.4563690673,100284.4563690673,100407.7890678072,-0.12283180407111072
2024-12-16,100286.33458971596,100711.795840528,100049.7752546621,100862.97496518202,0.4242464863758899
2024-12-17,100944.6116924952,101237.61123408657,100924.56965996962,101237.61123408657,0.2902577331060918
2024-12-18,101598.8416724404,102211.417649394,101527.6127419105,102211.417649394,0.6029359851646543
2024-12-19,102213.14353404558,103722.92034260892,101759.52768643436,103724.69730627896,1.4770867584758873
2024-12-20,103908.01075386188,104984.48026742673,103383.90498817676,105411.49027870788,1.0359831795017316
2024-12-21,105152.57757463116,103666.91653114988,103663.42360888976,105152.57757463116,-1.4128622214960362
2024-12-22,103573.56024528873,102088.15300537454,102032.46279044008,103777.88457566994,-1.4341567832527602
2024-12-23,102343.64093709446,102236.3693546964,101792.53905168286,102343.64093709446,-0.1048150929709335
2024-12-24,102375.3702970486,103246.02855218996,102365.57594164622,103246.02855218996,0.8504567579243894
2024-12-25,102784.30370493392,104043.0057737429,102689.16485901842,104043.0057737429,1.2246053370389864
2024-12-26,103650.45825117933,100925.14674803324,100701.49290849584,103650.45825117933,-2.6293289476267967
2024-12-27,101152.07703527492,100089.48836228818,100089.48836228818,101569.40578034558,-1.0504862620034916
2024-12-28,100331.89060973896,99704.96814434988,99704.96814434988,100344.95686598677,-0.6248486513900309
2024-12-29,99704.96814434988,99432.01195484636,99392.44875205148,99704.96814434988,-0.27376388015926123
2024-12-30,99403.31932659762,98019.7853174044,98019.7853174044,99526.7691179746,-1.3918388425717465
2024-12-31,97817.2501796524,97836.39470287524,97817.2501796524,98548.50020907418,0.01957172501545479
2025-01-01,97836.39470287524,98050.9597478698,97688.37051992348,98069.82391487714,0.21931004882813632
