timestamp,open,close,low,high,monthly_return_pct
2024-11-30,100000.0,105325.17458215212,99189.0539561586,106117.91127265134,5.325174582152115
2024-12-31,105325.17458215212,97836.39470287524,97817.2501796524,105411.49027870788,-7.110151878680949
2025-01-31,97836.39470287524,95622.26699505026,94599.14155159272,99955.44227535694,-2.2630920881224093
2025-02-28,95502.05087885566,93304.10174544444,91476.63457181164,99732.3811534186,-2.301467992765227
2025-03-31,93621.9816380829,90583.68447727304,85847.72255715636,97676.20279280472,-3.245281831947422
2025-04-30,90897.06098742528,97652.1427040594,90897.06098742528,98770.70755930808,7.4315733019889585
2025-05-31,97205.19432983756,102047.00010018724,95372.8405294507,102428.78495924412,4.981015473227113
2025-06-30,101983.11826679407,105144.07690857552,101465.70187444329,107455.40874485034,3.0994920487841693
2025-07-31,105111.86907386212,100328.09432721089,100328.09432721089,107238.26637171836,-4.55112708850195
2025-08-31,100328.09432721089,92800.48736582504,92800.48736582504,100946.22648724524,-7.502990076573413
2025-09-30,92287.78534767336,93010.09647405932,89301.710432839,93494.70620485346,0.7826725104138399
2025-10-31,93010.09647405932,90802.66809579768,86538.4182812987,94776.55765570328,-2.373321243546178
2025-11-30,90958.65134426736,87842.9710356434,85696.95588853977,92240.23893846708,-3.425380942414702
